fetched_at_hkt,match_id,hkjc_event_id,kickoff_hkt,status,tournament,home_en,away_en,home_zh,away_zh,pools,had_home,had_draw,had_away,hil_line,hil_over,hil_under,chl_line,chl_over,chl_under,pool_status,in_play,selling,odds_updated_at
2026-09-22T23:08:02+08:00,50076207,FB5591,2026-09-23T02:00+08:00,PREEVENT,ELT,Wigan,Blackpool,韋根,黑池,OOE+FHL+SGA11+SGA7+SGA15+SGA5+HDC+SGA13+HAD+HLA+SGA3+SGA1+FLA+SGA19+CRS+HHA+HIL+SGA17+TTG+SGA10+HLH+SGA8+FHA+SGA12+FHH+FCS+SGA14+SGA4+SGA6+SGA20+FLH+FTS+SGA18+SGA2+SGA16+SGA9+HFT,2.8,3.7,1.98,3.5,2.08,1.66,,,,SELLINGSTARTED,1,1,2026-09-21T12:00:05.643+08:00
2026-09-22T23:08:02+08:00,50076195,FB5620,2026-09-23T02:00+08:00,PREEVENT,ELT,Salford City,Sheff Wednesday,沙福特城,錫周三,HFT+HIL+FHL+OOE+CRS+FLH+HLA+FCS+FTS+HLH+FLA+HAD+HHA+TTG+FHA,2.72,3.6,2.05,3.5,2.3,1.54,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076196,FB5621,2026-09-23T02:00+08:00,PREEVENT,ELT,Oldham,Fleetwood,奧咸,費列活特,HLH+TTG+FLA+FHA+HHA+FTS+FCS+HFT+HIL+OOE+HAD+CRS+HLA+FLH+FHL,2.14,3.45,2.66,3.5,2.43,1.49,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076197,FB5622,2026-09-23T02:00+08:00,PREEVENT,ELT,Peterborough,Colchester,彼德堡,高車士打,FLH+HIL+HFT+FLA+FHL+FTS+FHA+TTG+HLH+CRS+OOE+HAD+FCS+HHA+HLA,1.76,3.8,3.3,3.5,2.13,1.63,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076198,FB5623,2026-09-23T02:00+08:00,PREEVENT,ELT,Tranmere,Shrewsbury,燦美爾,梳士貝利,FHL+OOE+FCS+HIL+FLA+HDC+HLH+FHA+HHA+FTS+HLA+TTG+FLH+HFT+HAD+CRS,2.11,3.15,2.92,2.5,1.9,1.8,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076200,FB5624,2026-09-23T02:00+08:00,PREEVENT,ELT,Walsall,Stevenage,華素爾,史提芬納治,HIL+HFT+FCS+CRS+FHL+HAD+HLH+FLA+FTS+HLA+TTG+FHA+HHA+FLH+OOE,2.83,3.25,2.12,3.5,2.98,1.33,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076201,FB5625,2026-09-23T02:00+08:00,PREEVENT,ELT,Gillingham,Cambridge Utd,基寧咸,劍橋聯,TTG+HLH+CRS+FHL+HLA+FLA+FLH+HHA+FTS+HAD+OOE+FCS+FHA+HIL+HFT,2.85,3.35,2.07,3.5,2.75,1.38,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076202,FB5626,2026-09-23T02:00+08:00,PREEVENT,ELT,Chesterfield,Port Vale,車士打菲特,維爾港,HLA+FTS+FLH+FCS+HLH+HHA+CRS+OOE+FHL+HFT+HIL+HAD+TTG+FHA+FLA,1.89,3.5,3.15,3.5,2.55,1.45,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076204,FB5627,2026-09-23T02:00+08:00,PREEVENT,ELT,Cheltenham,Exeter City,車頓咸,埃克塞特,FLH+FCS+HLH+CRS+FHA+TTG+HHA+HLA+FLA+FHL+HAD+FTS+HIL+OOE+HFT,2.12,3.35,2.77,3.5,2.38,1.51,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076296,FB5630,2026-09-23T02:00+08:00,PREEVENT,ELT,York City,Rotherham,約克城,洛達咸,HLH+FCS+FLH+TTG+HIL+FLA+CRS+HDC+HAD+OOE+FHA+FHL+HLA+FTS+HHA+HFT,1.98,3.55,2.88,3.5,2.33,1.53,,,,SELLINGSTARTED,0,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076217,FB5628,2026-09-23T03:00+08:00,PREEVENT,UCLW,Juventus Women,Benfica Women,祖雲達斯女足,賓菲加女足,HHA+SGA20+SGA18+SGA16+SGA1+FCH+SGA3+FLH+SGA12+OOE+HIL+SGA14+CHL+SGA9+SGA7+HFT+FTS+SGA5+SGA19+FLA+SGA17+SGA4+HAD+SGA2+HLA+FCS+SGA11+HDC+SGA10+HLH+SGA8+SGA15+TTG+SGA13+FHA+CRS+FHL+SGA6,1.42,4.1,5.1,2.5,1.55,2.29,10.5,2.25,1.57,SELLINGSTARTED,1,1,2026-09-21T19:30:05.738+08:00
2026-09-22T23:08:02+08:00,50076218,FB5629,2026-09-23T03:00+08:00,PREEVENT,UCLW,Real Madrid Women,Paris Saint Germain Women,皇家馬德里女足,巴黎聖日耳門女足,SGA10+SGA8+SGA12+CHH+FHC+FCH+SGA18+CRS+SGA2+FHL+FLH+SGA1+CFA+HLH+SGA15+HDC+SGA4+SGA20+FHA+OOE+CHA+SGA6+SGA9+HFT+SGA13+HIL+SGA3+CHD+FLA+SGA11+SGA17+FTS+HLA+CHL+HAD+CFH+SGA19+FCS+TTG+SGA16+SGA14+SGA7+HHA+SGA5+FHH,1.52,4.05,4.2,3.5,2.22,1.58,9.5,2.02,1.7,SELLINGSTARTED,1,1,2026-09-21T19:30:05.738+08:00
